Model,Inference Step,Scale,Results
Flux,1,0.7,"Recall@5: 47.62
Recall@10: 58.75
Recall@25: 74.12
Recall@50: 82.62

mAP@5: 32.4
mAP@10: 33.66
mAP@25: 36.44
mAP@50: 37.57

mAP@10 results for each semantic aspect:
Cardinality: 37.5
Addition: 34.34
Negation: 26.87
Direct Addressing: 34.39
Compare & Change: 30.95
Comparative Statement: 32.41
Statement with Conjunction: 32.4
Spatial Relations & Background: 35.38
Viewpoint: 27.48"
Flux,1,0.6,"Recall@5: 48.12
Recall@10: 60.12
Recall@25: 74.0
Recall@50: 83.12

mAP@5: 32.61
mAP@10: 33.91
mAP@25: 36.59
mAP@50: 37.72

mAP@10 results for each semantic aspect:
Cardinality: 37.15
Addition: 34.75
Negation: 27.16
Direct Addressing: 34.64
Compare & Change: 31.02
Comparative Statement: 33.02
Statement with Conjunction: 32.62
Spatial Relations & Background: 35.52
Viewpoint: 27.52"
Flux,1,0.5,"Recall@5: 48.12
Recall@10: 61.25
Recall@25: 74.5
Recall@50: 83.25

mAP@5: 32.56
mAP@10: 33.87
mAP@25: 36.6
mAP@50: 37.7

mAP@10 results for each semantic aspect:
Cardinality: 37.33
Addition: 34.54
Negation: 27.57
Direct Addressing: 34.71
Compare & Change: 30.98
Comparative Statement: 33.2
Statement with Conjunction: 32.54
Spatial Relations & Background: 35.34
Viewpoint: 27.58"
Flux,1,0.4,"Recall@5: 48.5
Recall@10: 61.25
Recall@25: 74.75
Recall@50: 83.38

mAP@5: 32.65
mAP@10: 33.93
mAP@25: 36.64
mAP@50: 37.76

mAP@10 results for each semantic aspect:
Cardinality: 37.51
Addition: 34.7
Negation: 27.52
Direct Addressing: 34.72
Compare & Change: 31.06
Comparative Statement: 33.33
Statement with Conjunction: 32.62
Spatial Relations & Background: 35.46
Viewpoint: 27.87"
Flux,1,0.3,"Recall@5: 48.5
Recall@10: 61.25
Recall@25: 74.5
Recall@50: 83.0

mAP@5: 32.78
mAP@10: 34.01
mAP@25: 36.7
mAP@50: 37.81

mAP@10 results for each semantic aspect:
Cardinality: 37.32
Addition: 34.97
Negation: 27.81
Direct Addressing: 34.92
Compare & Change: 31.23
Comparative Statement: 33.49
Statement with Conjunction: 32.73
Spatial Relations & Background: 35.31
Viewpoint: 28.12"
Flux,1,0.2,"Recall@5: 48.75
Recall@10: 61.25
Recall@25: 74.38
Recall@50: 83.0

mAP@5: 32.73
mAP@10: 33.91
mAP@25: 36.63
mAP@50: 37.73

mAP@10 results for each semantic aspect:
Cardinality: 36.82
Addition: 34.83
Negation: 27.3
Direct Addressing: 34.84
Compare & Change: 31.29
Comparative Statement: 33.29
Statement with Conjunction: 32.55
Spatial Relations & Background: 35.18
Viewpoint: 27.9"
Flux,1,0.1,"Recall@5: 49.0
Recall@10: 61.12
Recall@25: 74.12
Recall@50: 83.12

mAP@5: 32.78
mAP@10: 33.95
mAP@25: 36.68
mAP@50: 37.76

mAP@10 results for each semantic aspect:
Cardinality: 36.97
Addition: 34.91
Negation: 27.59
Direct Addressing: 34.79
Compare & Change: 31.33
Comparative Statement: 33.19
Statement with Conjunction: 32.51
Spatial Relations & Background: 35.11
Viewpoint: 27.57"
Flux,1,0,"Recall@5: 48.88
Recall@10: 61.12
Recall@25: 74.5
Recall@50: 83.0

mAP@5: 32.65
mAP@10: 33.87
mAP@25: 36.61
mAP@50: 37.69

mAP@10 results for each semantic aspect:
Cardinality: 36.84
Addition: 34.66
Negation: 27.61
Direct Addressing: 34.66
Compare & Change: 31.28
Comparative Statement: 33.0
Statement with Conjunction: 32.43
Spatial Relations & Background: 34.94
Viewpoint: 27.71"
Flux,4,0,"Recall@5: 49.12
Recall@10: 61.38
Recall@25: 74.75
Recall@50: 83.25

mAP@5: 32.71
mAP@10: 33.79
mAP@25: 36.51
mAP@50: 37.6

mAP@10 results for each semantic aspect:
Cardinality: 36.99
Addition: 34.59
Negation: 27.45
Direct Addressing: 34.58
Compare & Change: 31.12
Comparative Statement: 33.26
Statement with Conjunction: 32.45
Spatial Relations & Background: 34.77
Viewpoint: 28.02"
Flux,4,0.1,"Recall@5: 48.88
Recall@10: 61.12
Recall@25: 74.75
Recall@50: 83.38

mAP@5: 32.72
mAP@10: 33.82
mAP@25: 36.57
mAP@50: 37.67

mAP@10 results for each semantic aspect:
Cardinality: 36.84
Addition: 34.75
Negation: 27.22
Direct Addressing: 34.64
Compare & Change: 31.18
Comparative Statement: 33.39
Statement with Conjunction: 32.49
Spatial Relations & Background: 34.89
Viewpoint: 27.81"
Flux,4,0.2,"Recall@5: 48.88
Recall@10: 61.38
Recall@25: 74.88
Recall@50: 83.38

mAP@5: 32.7
mAP@10: 33.85
mAP@25: 36.59
mAP@50: 37.67

mAP@10 results for each semantic aspect:
Cardinality: 37.03
Addition: 34.79
Negation: 27.57
Direct Addressing: 34.7
Compare & Change: 31.18
Comparative Statement: 33.41
Statement with Conjunction: 32.55
Spatial Relations & Background: 35.05
Viewpoint: 27.88"
Flux,4,0.3,"Recall@5: 48.62
Recall@10: 61.25
Recall@25: 75.0
Recall@50: 83.25

mAP@5: 32.75
mAP@10: 33.95
mAP@25: 36.68
mAP@50: 37.76

mAP@10 results for each semantic aspect:
Cardinality: 37.35
Addition: 34.83
Negation: 27.35
Direct Addressing: 34.83
Compare & Change: 31.31
Comparative Statement: 33.21
Statement with Conjunction: 32.68
Spatial Relations & Background: 35.28
Viewpoint: 27.9"
Flux,4,0.4,"Recall@5: 48.75
Recall@10: 61.12
Recall@25: 74.75
Recall@50: 83.5

mAP@5: 32.61
mAP@10: 33.9
mAP@25: 36.59
mAP@50: 37.72

mAP@10 results for each semantic aspect:
Cardinality: 37.38
Addition: 34.72
Negation: 27.28
Direct Addressing: 34.71
Compare & Change: 31.09
Comparative Statement: 33.13
Statement with Conjunction: 32.64
Spatial Relations & Background: 35.3
Viewpoint: 27.76"
Flux,4,0.5,"Recall@5: 48.5
Recall@10: 61.0
Recall@25: 74.62
Recall@50: 83.12

mAP@5: 32.49
mAP@10: 33.87
mAP@25: 36.6
mAP@50: 37.72

mAP@10 results for each semantic aspect:
Cardinality: 37.78
Addition: 34.51
Negation: 27.28
Direct Addressing: 34.79
Compare & Change: 31.11
Comparative Statement: 32.96
Statement with Conjunction: 32.61
Spatial Relations & Background: 35.33
Viewpoint: 27.79"
Flux,4,0.6,"Recall@5: 48.5
Recall@10: 60.62
Recall@25: 74.75
Recall@50: 83.25

mAP@5: 32.55
mAP@10: 33.88
mAP@25: 36.6
mAP@50: 37.69

mAP@10 results for each semantic aspect:
Cardinality: 37.51
Addition: 34.68
Negation: 27.15
Direct Addressing: 34.61
Compare & Change: 31.05
Comparative Statement: 32.65
Statement with Conjunction: 32.57
Spatial Relations & Background: 35.57
Viewpoint: 27.43"
Flux,4,0.7,"Recall@5: 47.75
Recall@10: 59.0
Recall@25: 74.38
Recall@50: 82.75

mAP@5: 32.42
mAP@10: 33.65
mAP@25: 36.41
mAP@50: 37.55

mAP@10 results for each semantic aspect:
Cardinality: 37.35
Addition: 34.28
Negation: 26.87
Direct Addressing: 34.47
Compare & Change: 30.75
Comparative Statement: 32.33
Statement with Conjunction: 32.32
Spatial Relations & Background: 35.38
Viewpoint: 27.09"
Flux,4,0.8,"Recall@5: 46.75
Recall@10: 58.75
Recall@25: 74.25
Recall@50: 82.0

mAP@5: 31.79
mAP@10: 33.23
mAP@25: 35.95
mAP@50: 37.09

mAP@10 results for each semantic aspect:
Cardinality: 37.07
Addition: 33.94
Negation: 26.3
Direct Addressing: 33.97
Compare & Change: 30.54
Comparative Statement: 31.86
Statement with Conjunction: 31.96
Spatial Relations & Background: 35.09
Viewpoint: 26.81"
Flux,4,0.9,"Recall@5: 45.75
Recall@10: 57.63
Recall@25: 73.38
Recall@50: 81.25

mAP@5: 31.21
mAP@10: 32.55
mAP@25: 35.3
mAP@50: 36.45

mAP@10 results for each semantic aspect:
Cardinality: 35.66
Addition: 33.32
Negation: 25.54
Direct Addressing: 33.33
Compare & Change: 29.4
Comparative Statement: 31.41
Statement with Conjunction: 31.17
Spatial Relations & Background: 34.54
Viewpoint: 25.84"
Flux,4,1,"Recall@5: 44.75
Recall@10: 55.25
Recall@25: 71.62
Recall@50: 80.12

mAP@5: 29.7
mAP@10: 31.13
mAP@25: 33.92
mAP@50: 35.08

mAP@10 results for each semantic aspect:
Cardinality: 34.12
Addition: 32.05
Negation: 23.88
Direct Addressing: 31.52
Compare & Change: 28.13
Comparative Statement: 30.04
Statement with Conjunction: 29.72
Spatial Relations & Background: 32.95
Viewpoint: 24.28"
